"Sample","Cq","Quantity","CFU_TaqMan","Dilution","Count","CFU_Count","Date_Collected","Collected_By"
"mLN_B1","29.778624727733607",3.38043857131509,353602.361016223,"N2",21,42000,"20241211","WZ"
"mLN_B1","29.778624727733607",3.38043857131509,353602.361016223,"N2.1",24,48000,"20241211","WZ"
"mLN_B1","29.778624727733607",3.38043857131509,353602.361016223,"N3",NA,NA,"20241211","WZ"
"mLN_B1","29.778624727733607",3.38043857131509,353602.361016223,"N3.1",NA,NA,"20241211","WZ"
"mLN_B1","29.510409321164204",3.90873796076873,408863.803427691,"N2",21,42000,"20241211","WZ"
"mLN_B1","29.510409321164204",3.90873796076873,408863.803427691,"N2.1",24,48000,"20241211","WZ"
"mLN_B1","29.510409321164204",3.90873796076873,408863.803427691,"N3",NA,NA,"20241211","WZ"
"mLN_B1","29.510409321164204",3.90873796076873,408863.803427691,"N3.1",NA,NA,"20241211","WZ"
"mLN_B1","29.76867390198087",3.39869906949757,355512.454968365,"N2",21,42000,"20241211","WZ"
"mLN_B1","29.76867390198087",3.39869906949757,355512.454968365,"N2.1",24,48000,"20241211","WZ"
"mLN_B1","29.76867390198087",3.39869906949757,355512.454968365,"N3",NA,NA,"20241211","WZ"
"mLN_B1","29.76867390198087",3.39869906949757,355512.454968365,"N3.1",NA,NA,"20241211","WZ"
"mLN_B2","33.768756239276385",0.389765044503933,40770.4021447629,"N2",11,22000,"20241211","WZ"
"mLN_B2","33.768756239276385",0.389765044503933,40770.4021447629,"N2.1",4,8000,"20241211","WZ"
"mLN_B2","33.768756239276385",0.389765044503933,40770.4021447629,"N3",NA,NA,"20241211","WZ"
"mLN_B2","33.768756239276385",0.389765044503933,40770.4021447629,"N3.1",NA,NA,"20241211","WZ"
"mLN_B2","34.612814034183714",0.246800372191512,25815.9385137565,"N2",11,22000,"20241211","WZ"
"mLN_B2","34.612814034183714",0.246800372191512,25815.9385137565,"N2.1",4,8000,"20241211","WZ"
"mLN_B2","34.612814034183714",0.246800372191512,25815.9385137565,"N3",NA,NA,"20241211","WZ"
"mLN_B2","34.612814034183714",0.246800372191512,25815.9385137565,"N3.1",NA,NA,"20241211","WZ"
"mLN_B2","34.66037269122208",0.240526922409654,25159.7199173278,"N2",11,22000,"20241211","WZ"
"mLN_B2","34.66037269122208",0.240526922409654,25159.7199173278,"N2.1",4,8000,"20241211","WZ"
"mLN_B2","34.66037269122208",0.240526922409654,25159.7199173278,"N3",NA,NA,"20241211","WZ"
"mLN_B2","34.66037269122208",0.240526922409654,25159.7199173278,"N3.1",NA,NA,"20241211","WZ"
"mLN_B3","33.86706104724742",0.369563612595048,38657.2816522017,"N2",22,44000,"20241211","WZ"
"mLN_B3","33.86706104724742",0.369563612595048,38657.2816522017,"N2.1",20,40000,"20241211","WZ"
"mLN_B3","33.86706104724742",0.369563612595048,38657.2816522017,"N3",NA,NA,"20241211","WZ"
"mLN_B3","33.86706104724742",0.369563612595048,38657.2816522017,"N3.1",NA,NA,"20241211","WZ"
"mLN_B3","32.93226897796376",0.613027505456125,64124.216051896,"N2",22,44000,"20241211","WZ"
"mLN_B3","32.93226897796376",0.613027505456125,64124.216051896,"N2.1",20,40000,"20241211","WZ"
"mLN_B3","32.93226897796376",0.613027505456125,64124.216051896,"N3",NA,NA,"20241211","WZ"
"mLN_B3","32.93226897796376",0.613027505456125,64124.216051896,"N3.1",NA,NA,"20241211","WZ"
"mLN_B3","31.865427634331873",1.0922410356826,114251.154360105,"N2",22,44000,"20241211","WZ"
