"Sample","Dilution","Count","CFU_Count","Cq","Quantity","CFU_TaqMan"
"AM_91224_L_1","N_4",1.8,720000,34.0454059683312,0.073120848,198864.230962343
"AM_91224_L_1","N_4",1.8,720000,35.998966855758,0.0244469370842897,66487.4857940932
"AM_91224_L_1","N_4",1.8,720000,37.0262535084565,0.0137408812815486,37370.5976276425
"AM_91224_L_1","N_4.1",1.8,720000,34.0454059683312,0.073120848,198864.230962343
"AM_91224_L_1","N_4.1",1.8,720000,35.998966855758,0.0244469370842897,66487.4857940932
"AM_91224_L_1","N_4.1",1.8,720000,37.0262535084565,0.0137408812815486,37370.5976276425
"AM_91224_L_1","N_4.2",2.5,720000,34.0454059683312,0.073120848,198864.230962343
"AM_91224_L_1","N_4.2",2.5,720000,35.998966855758,0.0244469370842897,66487.4857940932
"AM_91224_L_1","N_4.2",2.5,720000,37.0262535084565,0.0137408812815486,37370.5976276425
"AM_91224_L_1","N_2",NA,720000,34.0454059683312,0.073120848,198864.230962343
"AM_91224_L_1","N_2",NA,720000,35.998966855758,0.0244469370842897,66487.4857940932
"AM_91224_L_1","N_2",NA,720000,37.0262535084565,0.0137408812815486,37370.5976276425
"AM_91224_L_1","N_2.1",NA,720000,34.0454059683312,0.073120848,198864.230962343
"AM_91224_L_1","N_2.1",NA,720000,35.998966855758,0.0244469370842897,66487.4857940932
"AM_91224_L_1","N_2.1",NA,720000,37.0262535084565,0.0137408812815486,37370.5976276425
"AM_91224_L_1","N_2.2",NA,720000,34.0454059683312,0.073120848,198864.230962343
"AM_91224_L_1","N_2.2",NA,720000,35.998966855758,0.0244469370842897,66487.4857940932
"AM_91224_L_1","N_2.2",NA,720000,37.0262535084565,0.0137408812815486,37370.5976276425
"AM_91224_L_2","N_4",1.8,720000,35.2906311003648,0.0363705125559905,98915.6199221498
"AM_91224_L_2","N_4",1.8,720000,35.9960115453741,0.024487489,66597.7734309623
"AM_91224_L_2","N_4",1.8,720000,35.4668405263771,0.0329481610005022,89607.9692482277
"AM_91224_L_2","N_4.1",1.9,720000,35.2906311003648,0.0363705125559905,98915.6199221498
"AM_91224_L_2","N_4.1",1.9,720000,35.9960115453741,0.024487489,66597.7734309623
"AM_91224_L_2","N_4.1",1.9,720000,35.4668405263771,0.0329481610005022,89607.9692482277
"AM_91224_L_2","N_4.2",2,720000,35.2906311003648,0.0363705125559905,98915.6199221498
"AM_91224_L_2","N_4.2",2,720000,35.9960115453741,0.024487489,66597.7734309623
